Country,Year,Consumption,,,
Africa,2016,10843,,,
Africa,2017,9808,,,
Africa,2018,11062,,,
Africa,2019,11135,,,
Europe,2016,52045,,,
Europe,2017,53199,,,
Europe,2018,56052,,,
Europe,2019,56287,,,
North America,2016,29559,,,
North America,2017,29941,,,
North America,2018,31779,,,
North America,2019,31983,,,
South America,2016,26111,,,
South America,2017,26922,,,
South America,2018,27156,,,
South America,2019,27120,,,
Asia & Oceania,2016,34395,,,
Asia & Oceania,2017,34832,,,
Asia & Oceania,2018,36566,,,
Asia & Oceania,2019,36642,,,
Central America & Mexico,2016,5172,,,
Central America & Mexico,2017,5252,,,
Central America & Mexico,2018,5321,,,
Central America & Mexico,2019,5326,,,
