City,number
Andorra la Vella,1
Ajman,2
Abu Dhabi,43
Al Ain,8
Al Barsha,1
Dubai,78
Fujairah,2
Ras Al Khaimah,3
Sharjah,6
Umm Al Quwain,1
Avellaneda,1
Boulogne,2
Buenos Aires,74
Caba,5
Ezeiza,1
Martinez,8
Moron,1
Pilar,3
Quilmes,1
San Isidro,2
San Justo,1
Tigre,1
Tortuguitas,1
Vicente Lopez,1
Mendoza,5
Rosario,3
Santa Fe,11
Cordoba,7
Vosendorf,1
Salzburg,3
Schwechat,1
Wien,13
Manly,1
Mt Druitt,1
Parramatta,1
Sydney,6
Westmead,1
Brisbane,2
Broadbeach,1
Chermside,1
Gold Coast,1
Surfers Paradise,1
Upper Mt Gravatt,1
Wooloongabba,1
Melbourne,9
Noord,1
Oranjestad,2
Baku,3
Narimonov,1
Brussels,7
Antwerp,2
Brugges,1
Gent,2
Leuven,1
Schaerbeek,1
Zaventem,3
Liege,1
Namur,1
Burgas,1
Sofia,4
Bahrain,1
Manama,8
